# t  x_0 x_1 x_2 x_3 x_4 x_5 x_6 x_7 x_8 x_9 x_10 x_11 x_12 x_13 x_14 x_15 x_16 x_17 x_18 x_19 x_20 x_21 x_22 x_23 x_24 x_25 x_26 x_27 x_28 x_29 x_30 x_31 x_32 x_33 x_34 x_35 x_36 x_37 x_38 x_39 x_40 x_41 x_42 x_43 x_44 x_45 x_46 x_47 x_48 x_49 x_50 x_51 x_52 x_53 x_54 x_55 x_56 x_57 x_58 x_59 x_60 x_61 x_62 x_63 x_64 x_65 x_66 x_67 x_68 x_69 x_70 x_71 x_72 x_73 x_74 x_75 x_76 x_77 x_78 x_79 x_80 x_81 x_82 x_83 x_84 x_85 x_86 x_87 x_88 x_89 x_90 x_91 x_92 x_93 x_94 x_95 x_96 x_97 x_98 x_99 x_100 x_101 x_102 x_103 x_104 x_105 x_106 x_107 x_108 x_109 x_110 x_111 x_112 x_113 x_114 x_115 x_116 x_117 x_118 x_119 x_120 x_121 x_122 x_123 x_124 x_125 x_126 x_127 x_128 x_129 x_130 x_131 x_132 x_133 x_134 x_135 x_136 x_137 x_138 x_139 x_140 x_141 x_142 x_143 x_144 x_145 x_146 x_147 x_148 x_149 x_150 x_151 x_152 x_153 x_154 x_155 x_156 x_157 x_158 x_159 x_160 x_161 x_162 x_163 x_164 x_165 x_166 x_167 x_168 x_169 x_170 x_171 x_172 x_173 x_174 x_175 x_176 x_177 x_178 x_179 x_180 x_181 x_182 x_183 x_184 x_185 x_186 x_187 x_188 x_189 x_190 x_191 x_192 x_193 x_194 x_195 x_196 x_197 x_198 x_199 x_200
106 0 2.38294 4.54859 6.54982 8.41819 10.175 11.8358 13.4123 14.9139 16.3482 17.7215 19.0391 20.3055 21.5246 22.6999 23.8342 24.9304 25.9908 27.0175 28.0124 28.9773 29.9138 30.8233 31.7071 32.5666 33.4027 34.2166 35.0093 35.7816 36.5344 37.2684 37.9845 38.6832 39.3653 40.0314 40.6819 41.3176 41.9388 42.5461 43.1399 43.7207 44.2889 44.8449 45.389 45.9216 46.4431 46.9537 47.4538 47.9437 48.4236 48.8939 49.3548 49.8065 50.2493 50.6834 51.109 51.5264 51.9358 52.3372 52.731 53.1174 53.4964 53.8683 54.2332 54.5913 54.9427 55.2876 55.6262 55.9585 56.2847 56.6049 56.9193 57.2279 57.531 57.8285 58.1207 58.4076 58.6893 58.966 59.2376 59.5044 59.7664 60.0238 60.2765 60.5246 60.7684 61.0078 61.2429 61.4738 61.7005 61.9232 62.142 62.3568 62.5677 62.7749 62.9783 63.1781 63.3743 63.5669 63.7561 63.9418 64.1242 64.3033 64.4791 64.6516 64.8211 64.9874 65.1506 65.3108 65.4681 65.6224 65.7739 65.9225 66.0683 66.2113 66.3517 66.4893 66.6244 66.7568 66.8867 67.014 67.1389 67.2613 67.3812 67.4988 67.6141 67.727 67.8376 67.946 68.0521 68.1561 68.2578 68.3575 68.455 68.5504 68.6438 68.7351 68.8245 68.9119 68.9973 69.0808 69.1623 69.242 69.3199 69.3959 69.4701 69.5425 69.6132 69.6821 69.7493 69.8148 69.8786 69.9407 70.0012 70.0601 70.1173 70.173 70.2272 70.2797 70.3308 70.3803 70.4284 70.475 70.5201 70.5637 70.606 70.6468 70.6862 70.7243 70.761 70.7964 70.8304 70.8631 70.8945 70.9246 70.9534 70.981 71.0073 71.0324 71.0562 71.0789 71.1003 71.1206 71.1397 71.1577 71.1745 71.1901 71.2047 71.2181 71.2305 71.2417 71.2519 71.261 71.2691 71.2761 71.2821 71.287 71.291 71.2939 71.2959 71.2968
107 0 2.37851 4.53528 6.52573 8.38233 10.1268 11.775 13.3389 14.8278 16.2496 17.6104 18.9156 20.1699 21.377 22.5405 23.6633 24.7481 25.7973 26.813 27.7971 28.7515 29.6776 30.5769 31.4508 32.3005 33.1271 33.9316 34.715 35.4782 36.2221 36.9475 37.655 38.3453 39.0192 39.6772 40.3198 40.9477 41.5613 42.1611 42.7476 43.3211 43.8822 44.4312 44.9685 45.4944 46.0092 46.5134 47.0071 47.4908 47.9646 48.4288 48.8838 49.3297 49.7668 50.1953 50.6154 51.0273 51.4313 51.8276 52.2162 52.5975 52.9715 53.3385 53.6986 54.052 54.3988 54.7391 55.0732 55.4011 55.723 56.0389 56.3491 56.6537 56.9527 57.2462 57.5345 57.8175 58.0955 58.3684 58.6364 58.8996 59.1581 59.412 59.6613 59.9061 60.1465 60.3827 60.6146 60.8424 61.066 61.2857 61.5015 61.7134 61.9214 62.1258 62.3265 62.5235 62.717 62.907 63.0936 63.2768 63.4567 63.6333 63.8067 63.9769 64.144 64.308 64.469 64.627 64.7821 64.9343 65.0837 65.2303 65.3741 65.5151 65.6535 65.7893 65.9225 66.0531 66.1812 66.3067 66.4299 66.5506 66.6689 66.7849 66.8985 67.0099 67.1189 67.2258 67.3305 67.433 67.5333 67.6316 67.7278 67.8219 67.914 68.004 68.0921 68.1783 68.2625 68.3449 68.4253 68.5039 68.5807 68.6556 68.7288 68.8002 68.8699 68.9378 69.0041 69.0686 69.1316 69.1928 69.2525 69.3105 69.367 69.4219 69.4753 69.5272 69.5775 69.6263 69.6737 69.7196 69.7641 69.8072 69.8488 69.8891 69.928 69.9655 70.0017 70.0366 70.0701 70.1023 70.1333 70.163 70.1914 70.2186 70.2445 70.2693 70.2928 70.3151 70.3363 70.3563 70.3751 70.3928 70.4094 70.4249 70.4392 70.4525 70.4646 70.4757 70.4857 70.4947 70.5027 70.5096 70.5155 70.5204 70.5243 70.5272 70.5291 70.5301
108 0 2.37399 4.52183 6.50146 8.3463 10.0786 11.7142 13.2655 14.7419 16.1511 17.4995 18.7926 20.0348 21.2301 22.3819 23.4932 24.5668 25.6049 26.6098 27.5833 28.5273 29.4432 30.3325 31.1965 32.0366 32.8537 33.6489 34.4232 35.1776 35.9127 36.6295 37.3285 38.0106 38.6764 39.3264 39.9613 40.5815 41.1875 41.78 42.3592 42.9257 43.4798 44.0219 44.5525 45.0718 45.5801 46.0779 46.5654 47.0429 47.5107 47.969 48.4181 48.8583 49.2898 49.7127 50.1274 50.534 50.9328 51.3239 51.7075 52.0838 52.4529 52.8151 53.1705 53.5192 53.8615 54.1973 54.527 54.8505 55.1682 55.4799 55.786 56.0865 56.3815 56.6712 56.9556 57.2349 57.5091 57.7784 58.0428 58.3025 58.5575 58.808 59.0539 59.2954 59.5326 59.7656 59.9944 60.2191 60.4398 60.6565 60.8693 61.0783 61.2836 61.4851 61.6831 61.8775 62.0684 62.2558 62.4398 62.6205 62.798 62.9722 63.1432 63.3111 63.4759 63.6377 63.7965 63.9523 64.1053 64.2554 64.4027 64.5473 64.6891 64.8283 64.9648 65.0987 65.23 65.3588 65.4851 65.609 65.7304 65.8495 65.9662 66.0805 66.1926 66.3024 66.41 66.5154 66.6187 66.7197 66.8187 66.9156 67.0105 67.1033 67.1941 67.2829 67.3698 67.4548 67.5378 67.619 67.6984 67.7759 67.8516 67.9255 67.9977 68.0681 68.1368 68.2038 68.2691 68.3328 68.3948 68.4553 68.5141 68.5713 68.627 68.6812 68.7338 68.785 68.8346 68.8828 68.9295 68.9748 69.0186 69.0611 69.1022 69.1419 69.1802 69.2172 69.2529 69.2873 69.3204 69.3522 69.3827 69.412 69.44 69.4668 69.4924 69.5168 69.54 69.562 69.5829 69.6026 69.6212 69.6386 69.655 69.6702 69.6843 69.6974 69.7094 69.7203 69.7302 69.7391 69.7469 69.7538 69.7596 69.7644 69.7682 69.7711 69.773 69.7739
109 0 2.36938 4.50822 6.47703 8.31012 10.0302 11.6534 13.1921 14.656 16.0529 17.389 18.67 19.9002 21.0838 22.2241 23.3241 24.3866 25.4138 26.408 27.371 28.3047 29.2105 30.0899 30.9442 31.7748 32.5825 33.3686 34.134 34.8795 35.6061 36.3144 37.0051 37.6791 38.3369 38.9791 39.6062 40.2189 40.8176 41.4028 41.9749 42.5343 43.0816 43.617 44.1409 44.6537 45.1557 45.6472 46.1285 46.6 47.0618 47.5143 47.9577 48.3923 48.8182 49.2357 49.6451 50.0465 50.4401 50.8261 51.2047 51.5761 51.9405 52.298 52.6487 52.9929 53.3306 53.6621 53.9874 54.3067 54.6201 54.9278 55.2299 55.5264 55.8175 56.1033 56.384 56.6595 56.9301 57.1958 57.4567 57.7129 57.9645 58.2116 58.4543 58.6926 58.9266 59.1564 59.3822 59.6038 59.8215 60.0353 60.2453 60.4515 60.654 60.8528 61.0481 61.2399 61.4282 61.6131 61.7946 61.9729 62.1479 62.3197 62.4884 62.654 62.8166 62.9762 63.1328 63.2866 63.4375 63.5855 63.7308 63.8734 64.0133 64.1506 64.2852 64.4173 64.5468 64.6739 64.7985 64.9206 65.0404 65.1578 65.2729 65.3857 65.4963 65.6046 65.7107 65.8147 65.9165 66.0162 66.1138 66.2093 66.3029 66.3944 66.484 66.5716 66.6573 66.7411 66.823 66.9031 66.9813 67.0578 67.1324 67.2053 67.2765 67.346 67.4137 67.4798 67.5442 67.607 67.6682 67.7278 67.7858 67.8423 67.8972 67.9506 68.0025 68.053 68.1019 68.1494 68.1955 68.2402 68.2834 68.3253 68.3658 68.405 68.4428 68.4793 68.5145 68.5484 68.581 68.6123 68.6424 68.6713 68.6989 68.7254 68.7506 68.7747 68.7975 68.8193 68.8398 68.8593 68.8776 68.8948 68.9109 68.926 68.9399 68.9528 68.9646 68.9754 68.9852 68.9939 69.0016 69.0084 69.0141 69.0189 69.0226 69.0255 69.0273 69.0283
110 0 2.36468 4.49448 6.45244 8.2738 9.98166 11.5925 13.1188 14.5703 15.9548 17.2789 18.5478 19.7663 20.9382 22.0671 23.1559 24.2074 25.2239 26.2075 27.1602 28.0836 28.9795 29.8492 30.6939 31.5151 32.3137 33.0908 33.8473 34.5842 35.3022 36.0021 36.6848 37.3507 38.0006 38.6351 39.2547 39.8599 40.4513 41.0294 41.5945 42.1471 42.6875 43.2163 43.7337 44.2401 44.7358 45.2212 45.6965 46.162 46.618 47.0647 47.5025 47.9315 48.352 48.7642 49.1683 49.5645 49.9531 50.3341 50.7079 51.0745 51.4341 51.7869 52.1331 52.4728 52.8062 53.1333 53.4544 53.7695 54.0788 54.3824 54.6805 54.9731 55.2604 55.5425 55.8194 56.0913 56.3583 56.6205 56.8779 57.1307 57.379 57.6228 57.8622 58.0974 58.3283 58.555 58.7777 58.9964 59.2112 59.4222 59.6293 59.8327 60.0325 60.2287 60.4213 60.6105 60.7963 60.9787 61.1578 61.3337 61.5063 61.6758 61.8422 62.0056 62.166 62.3234 62.4779 62.6296 62.7784 62.9245 63.0679 63.2085 63.3465 63.4819 63.6147 63.745 63.8728 63.9981 64.121 64.2415 64.3596 64.4754 64.589 64.7002 64.8093 64.9161 65.0208 65.1233 65.2237 65.3221 65.4183 65.5126 65.6049 65.6952 65.7835 65.8699 65.9544 66.0371 66.1179 66.1969 66.274 66.3494 66.4231 66.495 66.5652 66.6337 66.7005 66.7657 66.8292 66.8912 66.9515 67.0103 67.0675 67.1232 67.1774 67.23 67.2812 67.331 67.3792 67.4261 67.4715 67.5156 67.5583 67.5996 67.6395 67.6781 67.7154 67.7514 67.7861 67.8196 67.8517 67.8826 67.9123 67.9408 67.9681 67.9941 68.019 68.0428 68.0653 68.0867 68.107 68.1262 68.1443 68.1613 68.1772 68.192 68.2057 68.2184 68.2301 68.2407 68.2504 68.259 68.2666 68.2732 68.2789 68.2836 68.2873 68.2901 68.292 68.2929
111 0 2.3599 4.48059 6.4277 8.23735 9.93307 11.5316 13.0456 14.4847 15.8571 17.1691 18.4261 19.6329 20.7934 21.911 22.9887 24.0293 25.0352 26.0083 26.9508 27.8642 28.7503 29.6103 30.4456 31.2575 32.0471 32.8153 33.5631 34.2914 35.0011 35.6928 36.3674 37.0254 37.6676 38.2945 38.9066 39.5046 40.0888 40.6598 41.218 41.7638 42.2976 42.8199 43.3309 43.831 44.3205 44.7998 45.2691 45.7288 46.1791 46.6202 47.0524 47.476 47.8911 48.2981 48.697 49.0882 49.4717 49.8479 50.2168 50.5787 50.9337 51.282 51.6237 51.959 52.288 52.6109 52.9277 53.2388 53.544 53.8437 54.1379 54.4267 54.7102 54.9885 55.2618 55.5302 55.7936 56.0523 56.3064 56.5559 56.8008 57.0414 57.2777 57.5097 57.7375 57.9613 58.181 58.3968 58.6087 58.8168 59.0212 59.2219 59.419 59.6126 59.8027 59.9893 60.1726 60.3526 60.5293 60.7027 60.8731 61.0403 61.2045 61.3657 61.5239 61.6792 61.8316 61.9813 62.1281 62.2722 62.4136 62.5524 62.6885 62.822 62.9531 63.0816 63.2076 63.3313 63.4525 63.5714 63.6879 63.8021 63.9141 64.0239 64.1314 64.2368 64.3401 64.4412 64.5403 64.6373 64.7323 64.8252 64.9162 65.0053 65.0924 65.1777 65.261 65.3426 65.4223 65.5002 65.5763 65.6507 65.7233 65.7942 65.8634 65.931 65.9969 66.0612 66.1239 66.185 66.2445 66.3025 66.3589 66.4139 66.4673 66.5192 66.5697 66.6188 66.6664 66.7126 66.7575 66.8009 66.843 66.8837 66.9231 66.9612 66.998 67.0335 67.0677 67.1007 67.1324 67.1629 67.1922 67.2203 67.2472 67.2729 67.2975 67.3209 67.3431 67.3642 67.3843 67.4032 67.421 67.4377 67.4534 67.468 67.4816 67.4941 67.5056 67.5161 67.5256 67.5341 67.5416 67.5482 67.5538 67.5584 67.5621 67.5648 67.5666 67.5675
112 0 2.35503 4.46657 6.40281 8.20077 9.8844 11.4707 12.9724 14.3993 15.7596 17.0596 18.3049 19.5001 20.6492 21.7556 22.8225 23.8523 24.8477 25.8105 26.7429 27.6464 28.5227 29.3733 30.1993 31.0021 31.7827 32.5421 33.2813 34.0012 34.7026 35.3863 36.0529 36.7032 37.3378 37.9572 38.562 39.1527 39.7299 40.294 40.8453 41.3845 41.9118 42.4276 42.9323 43.4262 43.9097 44.383 44.8465 45.3004 45.745 46.1806 46.6073 47.0256 47.4355 47.8372 48.2311 48.6173 48.996 49.3673 49.7315 50.0888 50.4392 50.783 51.1203 51.4512 51.776 52.0947 52.4075 52.7145 53.0158 53.3115 53.6019 53.8869 54.1667 54.4414 54.7111 54.9759 55.2359 55.4913 55.742 55.9882 56.2299 56.4673 56.7004 56.9294 57.1542 57.375 57.5918 57.8048 58.0139 58.2192 58.4209 58.619 58.8134 59.0044 59.192 59.3761 59.5569 59.7345 59.9088 60.08 60.2481 60.4131 60.5751 60.7341 60.8902 61.0434 61.1938 61.3414 61.4863 61.6284 61.7679 61.9048 62.0391 62.1709 62.3002 62.4269 62.5513 62.6733 62.7928 62.9101 63.0251 63.1378 63.2483 63.3565 63.4626 63.5666 63.6685 63.7682 63.8659 63.9616 64.0553 64.147 64.2368 64.3247 64.4106 64.4947 64.577 64.6574 64.736 64.8128 64.8879 64.9613 65.0329 65.1029 65.1712 65.2378 65.3029 65.3663 65.4281 65.4884 65.5471 65.6043 65.6599 65.7141 65.7668 65.8181 65.8679 65.9163 65.9632 66.0088 66.053 66.0959 66.1374 66.1776 66.2165 66.254 66.2903 66.3253 66.3591 66.3916 66.4229 66.453 66.4819 66.5096 66.5361 66.5615 66.5857 66.6088 66.6307 66.6516 66.6713 66.69 66.7075 66.7241 66.7395 66.7539 66.7673 66.7797 66.791 66.8014 66.8108 66.8191 66.8266 66.833 66.8385 66.8431 66.8467 66.8494 66.8512 66.8521
113 0 2.35007 4.45241 6.37777 8.16406 9.83565 11.4098 12.8992 14.3141 15.6623 16.9505 18.1841 19.3679 20.5058 21.6012 22.6572 23.6765 24.6614 25.6141 26.5364 27.4302 28.297 29.1381 29.955 30.7487 31.5205 32.2713 33.0021 33.7137 34.4069 35.0826 35.7415 36.3841 37.0111 37.6231 38.2207 38.8044 39.3746 39.9318 40.4765 41.0091 41.53 42.0395 42.538 43.0258 43.5033 43.9707 44.4284 44.8767 45.3157 45.7459 46.1673 46.5802 46.985 47.3817 47.7706 48.1518 48.5257 48.8923 49.2519 49.6046 49.9505 50.2899 50.6228 50.9496 51.2701 51.5847 51.8935 52.1965 52.4939 52.7858 53.0724 53.3537 53.6298 53.901 54.1672 54.4285 54.6852 54.9371 55.1846 55.4275 55.6661 55.9004 56.1304 56.3564 56.5782 56.7961 57.0101 57.2202 57.4266 57.6292 57.8282 58.0236 58.2155 58.404 58.5891 58.7708 58.9492 59.1244 59.2964 59.4653 59.6311 59.7939 59.9538 60.1107 60.2647 60.4159 60.5643 60.7099 60.8528 60.9931 61.1307 61.2658 61.3983 61.5283 61.6558 61.7809 61.9036 62.0239 62.1419 62.2576 62.371 62.4822 62.5912 62.698 62.8027 62.9053 63.0057 63.1042 63.2006 63.295 63.3874 63.4779 63.5664 63.6531 63.7379 63.8209 63.902 63.9813 64.0589 64.1347 64.2088 64.2811 64.3518 64.4208 64.4882 64.554 64.6181 64.6807 64.7417 64.8011 64.859 64.9154 64.9704 65.0238 65.0758 65.1264 65.1755 65.2232 65.2696 65.3145 65.3581 65.4004 65.4414 65.481 65.5193 65.5564 65.5922 65.6267 65.6601 65.6921 65.723 65.7527 65.7812 65.8085 65.8347 65.8597 65.8836 65.9063 65.928 65.9486 65.968 65.9864 66.0038 66.0201 66.0353 66.0495 66.0627 66.0749 66.0861 66.0963 66.1056 66.1139 66.1212 66.1275 66.133 66.1375 66.141 66.1437 66.1455 66.1464
114 0 2.34503 4.43812 6.3526 8.12725 9.78684 11.3488 12.8262 14.229 15.5653 16.8418 18.0639 19.2363 20.363 21.4475 22.4929 23.5016 24.4763 25.4189 26.3315 27.2156 28.0729 28.9048 29.7126 30.4975 31.2605 32.0028 32.7252 33.4287 34.1139 34.7818 35.4329 36.068 36.6876 37.2924 37.8828 38.4595 39.0229 39.5734 40.1115 40.6376 41.1522 41.6554 42.1478 42.6296 43.1012 43.5629 44.015 44.4576 44.8912 45.316 45.7321 46.1399 46.5395 46.9312 47.3152 47.6917 48.0608 48.4228 48.7778 49.126 49.4675 49.8026 50.1313 50.4538 50.7703 51.0808 51.3856 51.6847 51.9783 52.2664 52.5493 52.8269 53.0995 53.3671 53.6299 53.8879 54.1411 54.3898 54.634 54.8738 55.1093 55.3405 55.5676 55.7905 56.0095 56.2245 56.4357 56.643 56.8467 57.0467 57.243 57.4359 57.6253 57.8112 57.9938 58.1732 58.3492 58.5221 58.6919 58.8585 59.0221 59.1828 59.3405 59.4953 59.6473 59.7965 59.9429 60.0866 60.2276 60.366 60.5018 60.6351 60.7658 60.8941 61.0199 61.1433 61.2644 61.3831 61.4995 61.6136 61.7255 61.8352 61.9428 62.0482 62.1514 62.2526 62.3518 62.4489 62.544 62.6371 62.7283 62.8176 62.905 62.9905 63.0741 63.156 63.236 63.3143 63.3908 63.4656 63.5387 63.6101 63.6798 63.7479 63.8144 63.8792 63.9425 64.0042 64.0644 64.123 64.1802 64.2358 64.29 64.3427 64.394 64.4439 64.4924 64.5395 64.5852 64.6295 64.6726 64.7143 64.7547 64.7938 64.8316 64.8682 64.9035 64.9376 64.9704 65.0021 65.0325 65.0618 65.0899 65.1169 65.1427 65.1674 65.1909 65.2134 65.2347 65.255 65.2742 65.2924 65.3095 65.3256 65.3406 65.3546 65.3677 65.3797 65.3907 65.4008 65.4099 65.4181 65.4253 65.4316 65.4369 65.4414 65.4449 65.4475 65.4493 65.4502
115 0 2.33991 4.4237 6.3273 8.09033 9.73798 11.2879 12.7532 14.1441 15.4686 16.7335 17.9441 19.1053 20.2211 21.2948 22.3295 23.3279 24.2924 25.2251 26.1279 27.0026 27.8505 28.6733 29.4722 30.2483 31.0028 31.7367 32.4508 33.1462 33.8236 34.4837 35.1272 35.7548 36.3672 36.9648 37.5483 38.1181 38.6747 39.2186 39.7502 40.27 40.7783 41.2754 41.7618 42.2377 42.7035 43.1595 43.606 44.0432 44.4714 44.8908 45.3018 45.7045 46.0991 46.4859 46.8651 47.2368 47.6013 47.9587 48.3092 48.653 48.9902 49.321 49.6455 49.9639 50.2763 50.5829 50.8837 51.179 51.4688 51.7533 52.0325 52.3066 52.5757 52.8398 53.0992 53.3538 53.6038 53.8493 54.0903 54.327 54.5594 54.7876 55.0117 55.2317 55.4478 55.66 55.8684 56.0731 56.2741 56.4714 56.6652 56.8556 57.0425 57.226 57.4062 57.5831 57.7569 57.9275 58.095 58.2595 58.4209 58.5795 58.7351 58.8879 59.0378 59.185 59.3295 59.4713 59.6105 59.747 59.881 60.0125 60.1415 60.2681 60.3922 60.514 60.6335 60.7506 60.8655 60.9781 61.0885 61.1968 61.3029 61.4068 61.5087 61.6086 61.7064 61.8022 61.8961 61.988 62.0779 62.166 62.2522 62.3366 62.4191 62.4999 62.5788 62.6561 62.7316 62.8054 62.8775 62.9479 63.0167 63.0839 63.1495 63.2134 63.2759 63.3368 63.3961 63.454 63.5104 63.5653 63.6187 63.6708 63.7214 63.7706 63.8184 63.8648 63.91 63.9537 63.9962 64.0373 64.0772 64.1157 64.1531 64.1891 64.224 64.2576 64.29 64.3212 64.3513 64.3802 64.4079 64.4345 64.46 64.4843 64.5076 64.5297 64.5508 64.5708 64.5898 64.6077 64.6245 64.6404 64.6552 64.6691 64.6819 64.6938 64.7047 64.7146 64.7236 64.7317 64.7388 64.745 64.7503 64.7546 64.7581 64.7607 64.7625 64.7633
116 0 2.3347 4.40916 6.30187 8.05331 9.68907 11.227 12.6804 14.0594 15.3722 16.6255 17.8249 18.975 20.0798 21.1428 22.1671 23.1553 24.1098 25.0327 25.9259 26.7911 27.6299 28.4436 29.2337 30.0012 30.7472 31.4728 32.1789 32.8663 33.5359 34.1883 34.8244 35.4447 36.0498 36.6404 37.217 37.78 38.33 38.8674 39.3927 39.9061 40.4083 40.8994 41.3798 41.85 42.3101 42.7605 43.2014 43.6332 44.0562 44.4704 44.8763 45.274 45.6637 46.0457 46.4201 46.7871 47.147 47.4999 47.846 48.1854 48.5184 48.845 49.1654 49.4797 49.7882 50.0909 50.3879 50.6794 50.9655 51.2463 51.5219 51.7925 52.0581 52.3189 52.5749 52.8262 53.073 53.3153 53.5532 53.7868 54.0162 54.2415 54.4627 54.6799 54.8932 55.1026 55.3083 55.5103 55.7086 55.9034 56.0947 56.2825 56.467 56.6481 56.826 57.0006 57.1721 57.3404 57.5058 57.6681 57.8274 57.9839 58.1374 58.2882 58.4362 58.5814 58.724 58.8639 59.0013 59.136 59.2683 59.398 59.5253 59.6502 59.7727 59.8929 60.0108 60.1264 60.2397 60.3508 60.4598 60.5666 60.6713 60.7739 60.8745 60.973 61.0695 61.164 61.2566 61.3473 61.4361 61.523 61.6081 61.6913 61.7727 61.8524 61.9303 62.0065 62.081 62.1538 62.225 62.2945 62.3624 62.4286 62.4933 62.5565 62.6181 62.6782 62.7367 62.7938 62.8495 62.9036 62.9564 63.0077 63.0576 63.1062 63.1534 63.1992 63.2437 63.2869 63.3288 63.3694 63.4087 63.4467 63.4836 63.5192 63.5535 63.5867 63.6187 63.6495 63.6791 63.7076 63.735 63.7612 63.7864 63.8104 63.8333 63.8552 63.876 63.8957 63.9144 63.9321 63.9487 63.9644 63.979 63.9927 64.0054 64.0171 64.0278 64.0376 64.0465 64.0544 64.0615 64.0676 64.0728 64.0771 64.0805 64.0831 64.0848 64.0857
117 0 2.32942 4.3945 6.27632 8.0162 9.64012 11.1661 12.6076 13.9749 15.2761 16.518 17.7062 18.8453 19.9393 20.9918 22.0057 22.9838 23.9284 24.8416 25.7253 26.5812 27.4109 28.2158 28.9971 29.7561 30.4938 31.2112 31.9093 32.5889 33.2508 33.8957 34.5244 35.1375 35.7356 36.3192 36.889 37.4453 37.9888 38.5198 39.0387 39.546 40.0421 40.5273 41.0019 41.4663 41.9208 42.3657 42.8013 43.2278 43.6455 44.0547 44.4555 44.8482 45.2331 45.6103 45.9801 46.3426 46.6979 47.0464 47.3882 47.7233 48.0521 48.3745 48.6909 49.0013 49.3058 49.6046 49.8979 50.1857 50.4681 50.7454 51.0175 51.2846 51.5468 51.8042 52.057 52.3051 52.5487 52.7879 53.0227 53.2533 53.4798 53.7021 53.9204 54.1348 54.3454 54.5521 54.7551 54.9545 55.1503 55.3425 55.5313 55.7167 55.8988 56.0775 56.2531 56.4254 56.5947 56.7608 56.924 57.0842 57.2414 57.3958 57.5474 57.6962 57.8422 57.9856 58.1263 58.2644 58.3999 58.5329 58.6634 58.7914 58.9171 59.0403 59.1612 59.2798 59.3961 59.5102 59.622 59.7317 59.8392 59.9446 60.0479 60.1492 60.2484 60.3456 60.4409 60.5342 60.6255 60.715 60.8026 60.8884 60.9723 61.0545 61.1348 61.2134 61.2903 61.3655 61.439 61.5109 61.5811 61.6496 61.7166 61.782 61.8459 61.9082 61.969 62.0282 62.086 62.1424 62.1973 62.2507 62.3028 62.3534 62.4027 62.4506 62.4971 62.5424 62.5863 62.6289 62.6702 62.7103 62.7491 62.7866 62.8229 62.8581 62.892 62.9247 62.9563 62.9867 63.0159 63.044 63.071 63.0969 63.1217 63.1454 63.168 63.1896 63.2101 63.2296 63.2481 63.2655 63.2819 63.2974 63.3118 63.3253 63.3378 63.3494 63.36 63.3696 63.3784 63.3862 63.3932 63.3992 63.4043 63.4086 63.412 63.4145 63.4162 63.417
118 0 2.32405 4.37972 6.25066 7.97901 9.59114 11.1053 12.535 13.8906 15.1803 16.4109 17.588 18.7162 19.7996 20.8416 21.8453 22.8134 23.7482 24.6518 25.5262 26.3729 27.1937 27.9898 28.7625 29.5131 30.2425 30.9519 31.6421 32.3139 32.9683 33.6058 34.2272 34.8332 35.4243 36.0011 36.5642 37.114 37.651 38.1757 38.6884 39.1897 39.6798 40.1591 40.628 41.0868 41.5357 41.9752 42.4055 42.8267 43.2393 43.6435 44.0394 44.4273 44.8074 45.1799 45.5451 45.903 46.254 46.5981 46.9356 47.2665 47.5911 47.9096 48.2219 48.5284 48.8291 49.1242 49.4137 49.6978 49.9767 50.2504 50.5191 50.7828 51.0417 51.2958 51.5453 51.7902 52.0307 52.2669 52.4987 52.7263 52.9499 53.1693 53.3849 53.5965 53.8043 54.0084 54.2088 54.4056 54.5988 54.7886 54.975 55.1579 55.3376 55.5141 55.6873 55.8575 56.0245 56.1885 56.3495 56.5076 56.6629 56.8152 56.9648 57.1117 57.2558 57.3973 57.5362 57.6725 57.8062 57.9375 58.0663 58.1926 58.3166 58.4383 58.5576 58.6746 58.7894 58.902 59.0123 59.1206 59.2267 59.3307 59.4327 59.5326 59.6305 59.7264 59.8204 59.9125 60.0027 60.091 60.1774 60.262 60.3449 60.4259 60.5052 60.5828 60.6587 60.7329 60.8054 60.8763 60.9456 61.0133 61.0794 61.1439 61.2069 61.2684 61.3284 61.3869 61.4439 61.4995 61.5536 61.6064 61.6578 61.7077 61.7563 61.8036 61.8496 61.8942 61.9375 61.9796 62.0203 62.0599 62.0981 62.1352 62.1711 62.2057 62.2392 62.2715 62.3026 62.3326 62.3615 62.3892 62.4159 62.4414 62.4659 62.4892 62.5116 62.5329 62.5531 62.5723 62.5905 62.6077 62.624 62.6392 62.6534 62.6667 62.6791 62.6905 62.701 62.7105 62.7191 62.7269 62.7337 62.7397 62.7447 62.7489 62.7523 62.7548 62.7564 62.7573
