# t  x_0 x_1 x_2 x_3 x_4 x_5 x_6 x_7 x_8 x_9 x_10 x_11 x_12 x_13 x_14 x_15 x_16 x_17 x_18 x_19 x_20 x_21 x_22 x_23 x_24 x_25 x_26 x_27 x_28 x_29 x_30 x_31 x_32 x_33 x_34 x_35 x_36 x_37 x_38 x_39 x_40 x_41 x_42 x_43 x_44 x_45 x_46 x_47 x_48 x_49 x_50 x_51 x_52 x_53 x_54 x_55 x_56 x_57 x_58 x_59 x_60 x_61 x_62 x_63 x_64 x_65 x_66 x_67 x_68 x_69 x_70 x_71 x_72 x_73 x_74 x_75 x_76 x_77 x_78 x_79 x_80 x_81 x_82 x_83 x_84 x_85 x_86 x_87 x_88 x_89 x_90 x_91 x_92 x_93 x_94 x_95 x_96 x_97 x_98 x_99 x_100 x_101 x_102 x_103 x_104 x_105 x_106 x_107 x_108 x_109 x_110 x_111 x_112 x_113 x_114 x_115 x_116 x_117 x_118 x_119 x_120 x_121 x_122 x_123 x_124 x_125 x_126 x_127 x_128 x_129 x_130 x_131 x_132 x_133 x_134 x_135 x_136 x_137 x_138 x_139 x_140 x_141 x_142 x_143 x_144 x_145 x_146 x_147 x_148 x_149 x_150 x_151 x_152 x_153 x_154 x_155 x_156 x_157 x_158 x_159 x_160 x_161 x_162 x_163 x_164 x_165 x_166 x_167 x_168 x_169 x_170 x_171 x_172 x_173 x_174 x_175 x_176 x_177 x_178 x_179 x_180 x_181 x_182 x_183 x_184 x_185 x_186 x_187 x_188 x_189 x_190 x_191 x_192 x_193 x_194 x_195 x_196 x_197 x_198 x_199 x_200
0 0 2.5 5 7.5 10 12.5 15 17.5 20 22.5 25 27.5 30 32.5 35 37.5 40 42.5 45 47.5 50 52.5 55 57.5 60 62.5 65 67.5 70 72.5 75 77.5 80 82.5 85 87.5 90 92.5 95 97.5 100 102.5 105 107.5 110 112.5 115 117.5 120 122.5 125 127.5 130 132.5 135 137.5 140 142.5 145 147.5 150 152.5 155 157.5 160 162.5 165 167.5 170 172.5 175 177.5 180 182.5 185 187.5 190 192.5 195 197.5 200 202.5 205 207.5 210 212.5 215 217.5 220 222.5 225 227.5 230 232.5 235 237.5 240 242.5 245 247.5 250 252.5 255 257.5 260 262.5 265 267.5 270 272.5 275 277.5 280 282.5 285 287.5 290 292.5 295 297.5 300 302.5 305 307.5 310 312.5 315 317.5 320 322.5 325 327.5 330 332.5 335 337.5 340 342.5 345 347.5 350 352.5 355 357.5 360 362.5 365 367.5 370 372.5 375 377.5 380 382.5 385 387.5 390 392.5 395 397.5 400 402.5 405 407.5 410 412.5 415 417.5 420 422.5 425 427.5 430 432.5 435 437.5 440 442.5 445 447.5 450 452.5 455 457.5 460 462.5 465 467.5 470 472.5 475 477.5 480 482.5 485 487.5 490 492.5 495 497.5 500
49.7512 0 2.43872 4.81648 7.14858 9.44182 11.7004 13.9271 16.1241 18.2932 20.4358 22.553 24.6459 26.7153 28.762 30.7867 32.79 34.7725 36.7347 38.677 40.5999 42.5037 44.389 46.2559 48.1048 49.9361 51.75 53.5468 55.3267 57.09 58.8369 60.5677 62.2825 63.9815 65.665 67.3331 68.986 70.6238 72.2468 73.855 75.4487 77.028 78.5929 80.1437 81.6805 83.2034 84.7126 86.208 87.69 89.1585 90.6137 92.0557 93.4845 94.9004 96.3033 97.6934 99.0708 100.436 101.788 103.127 104.455 105.77 107.073 108.363 109.642 110.908 112.163 113.406 114.637 115.856 117.064 118.26 119.445 120.618 121.779 122.93 124.069 125.197 126.313 127.419 128.513 129.597 130.669 131.731 132.782 133.822 134.851 135.87 136.878 137.875 138.862 139.838 140.804 141.76 142.705 143.64 144.564 145.478 146.382 147.276 148.16 149.033 149.897 150.75 151.594 152.428 153.251 154.065 154.869 155.664 156.448 157.223 157.988 158.744 159.49 160.226 160.953 161.67 162.377 163.076 163.765 164.444 165.114 165.775 166.426 167.068 167.701 168.325 168.939 169.545 170.141 170.728 171.306 171.875 172.435 172.986 173.528 174.061 174.585 175.1 175.606 176.103 176.592 177.072 177.543 178.005 178.458 178.903 179.339 179.767 180.186 180.596 180.997 181.39 181.775 182.151 182.518 182.877 183.227 183.569 183.903 184.228 184.545 184.853 185.154 185.445 185.729 186.004 186.271 186.529 186.78 187.022 187.256 187.482 187.699 187.909 188.11 188.304 188.489 188.666 188.835 188.996 189.149 189.294 189.431 189.56 189.682 189.795 189.9 189.997 190.087 190.169 190.242 190.308 190.367 190.417 190.46 190.494 190.521 190.541 190.552 190.552
99.5025 0 2.27468 4.38613 6.39053 8.31112 10.1614 11.9504 13.6848 15.3696 17.009 18.6063 20.1644 21.6855 23.172 24.6255 26.0477 27.4401 28.804 30.1406 31.451 32.7362 33.9971 35.2345 36.4493 37.6422 38.8138 39.9648 41.0958 42.2074 43.3001 44.3745 45.4309 46.4699 47.4918 48.4972 49.4863 50.4597 51.4175 52.3602 53.288 54.2014 55.1006 55.9859 56.8575 57.7158 58.561 59.3934 60.2131 61.0204 61.8157 62.5989 63.3705 64.1305 64.8792 65.6168 66.3434 67.0593 67.7645 68.4594 69.144 69.8185 70.483 71.1378 71.783 72.4186 73.0449 73.662 74.27 74.8691 75.4594 76.0409 76.6139 77.1784 77.7346 78.2826 78.8224 79.3543 79.8782 80.3944 80.9028 81.4037 81.8971 82.3831 82.8617 83.3332 83.7976 84.2549 84.7053 85.1488 85.5855 86.0156 86.439 86.8559 87.2664 87.6704 88.0682 88.4598 88.8451 89.2244 89.5977 89.9651 90.3265 90.6822 91.0321 91.3763 91.7149 92.048 92.3756 92.6977 93.0145 93.3259 93.6321 93.9331 94.229 94.5198 94.8055 95.0863 95.3621 95.6331 95.8992 96.1606 96.4173 96.6693 96.9166 97.1594 97.3977 97.6315 97.8609 98.0859 98.3065 98.5229 98.735 98.9429 99.1466 99.3462 99.5417 99.7332 99.9207 100.104 100.284 100.46 100.631 100.8 100.964 101.124 101.281 101.435 101.584 101.73 101.873 102.012 102.147 102.28 102.408 102.534 102.655 102.774 102.89 103.002 103.111 103.216 103.319 103.418 103.515 103.608 103.698 103.786 103.87 103.952 104.03 104.106 104.178 104.248 104.315 104.38 104.441 104.5 104.557 104.61 104.661 104.709 104.755 104.798 104.839 104.877 104.912 104.946 104.976 105.004 105.03 105.054 105.075 105.094 105.11 105.125 105.137 105.146 105.154 105.159 105.163 105.163
149.254 0 2.02055 3.78823 5.40717 6.9174 8.34096 9.69206 10.9807 12.2145 13.3992 14.5396 15.6395 16.7022 17.7305 18.7267 19.693 20.6311 21.5429 22.4296 23.2926 24.1331 24.9523 25.751 26.5302 27.2908 28.0335 28.7591 29.4681 30.1613 30.8392 31.5023 32.1512 32.7864 33.4082 34.0172 34.6137 35.1982 35.7709 36.3323 36.8826 37.4222 37.9513 38.4703 38.9795 39.4789 39.9691 40.4501 40.9221 41.3855 41.8404 42.2871 42.7256 43.1563 43.5792 43.9946 44.4026 44.8034 45.1971 45.5839 45.964 46.3374 46.7044 47.0649 47.4193 47.7675 48.1098 48.4462 48.7768 49.1017 49.4212 49.7351 50.0438 50.3472 50.6454 50.9386 51.2268 51.5102 51.7887 52.0625 52.3317 52.5964 52.8565 53.1123 53.3637 53.6108 53.8538 54.0927 54.3275 54.5582 54.7851 55.0081 55.2273 55.4427 55.6545 55.8626 56.0671 56.2681 56.4656 56.6597 56.8504 57.0378 57.222 57.4028 57.5806 57.7551 57.9266 58.095 58.2605 58.4229 58.5825 58.7391 58.8929 59.0439 59.1921 59.3376 59.4805 59.6206 59.7581 59.8931 60.0255 60.1553 60.2827 60.4076 60.5301 60.6502 60.768 60.8834 60.9965 61.1073 61.2159 61.3223 61.4265 61.5285 61.6284 61.7261 61.8218 61.9154 62.007 62.0966 62.1842 62.2698 62.3535 62.4353 62.5152 62.5932 62.6694 62.7437 62.8162 62.887 62.956 63.0232 63.0887 63.1525 63.2146 63.2751 63.3339 63.3911 63.4467 63.5006 63.553 63.6039 63.6532 63.701 63.7473 63.7921 63.8354 63.8772 63.9177 63.9567 63.9942 64.0304 64.0652 64.0987 64.1308 64.1615 64.191 64.2191 64.2459 64.2715 64.2958 64.3188 64.3406 64.3612 64.3805 64.3987 64.4156 64.4314 64.446 64.4595 64.4718 64.483 64.4931 64.502 64.5099 64.5167 64.5224 64.5271 64.5307 64.5332 64.5348 64.5348
199.005 0 1.71868 3.137 4.39333 5.53757 6.59599 7.58497 8.5157 9.39638 10.2332 11.0312 11.7943 12.5257 13.2283 13.9044 14.556 15.1849 15.7926 16.3805 16.9498 17.5017 18.037 18.5568 19.0618 19.5527 20.0302 20.495 20.9477 21.3887 21.8186 22.2378 22.6467 23.0458 23.4355 23.816 24.1878 24.5511 24.9062 25.2535 25.593 25.9253 26.2503 26.5684 26.8799 27.1848 27.4833 27.7758 28.0623 28.343 28.618 28.8876 29.1519 29.4109 29.6649 29.914 30.1583 30.3979 30.6329 30.8634 31.0896 31.3116 31.5294 31.7431 31.9529 32.1588 32.3609 32.5593 32.754 32.9452 33.133 33.3173 33.4983 33.676 33.8505 34.0219 34.1903 34.3556 34.5179 34.6774 34.834 34.9878 35.1389 35.2873 35.433 35.5762 35.7168 35.8549 35.9906 36.1239 36.2548 36.3833 36.5096 36.6336 36.7555 36.8751 36.9926 37.108 37.2213 37.3326 37.4419 37.5493 37.6546 37.7581 37.8597 37.9595 38.0574 38.1535 38.2479 38.3405 38.4315 38.5207 38.6082 38.6942 38.7785 38.8612 38.9424 39.022 39.1001 39.1766 39.2518 39.3254 39.3976 39.4684 39.5378 39.6058 39.6724 39.7377 39.8017 39.8644 39.9257 39.9859 40.0447 40.1023 40.1587 40.2139 40.2679 40.3207 40.3723 40.4228 40.4722 40.5204 40.5676 40.6136 40.6586 40.7025 40.7454 40.7872 40.828 40.8678 40.9066 40.9444 40.9812 41.0171 41.052 41.0859 41.119 41.1511 41.1823 41.2126 41.242 41.2706 41.2982 41.325 41.351 41.3761 41.4004 41.4239 41.4466 41.4684 41.4895 41.5098 41.5293 41.548 41.566 41.5833 41.5998 41.6155 41.6306 41.6449 41.6585 41.6714 41.6836 41.6951 41.7059 41.7161 41.7256 41.7344 41.7426 41.7502 41.7571 41.7633 41.769 41.774 41.7784 41.7822 41.7854 41.788 41.79 41.7914 41.7923 41.7923
248.756 0 1.41161 2.51766 3.46965 4.31952 5.09364 5.80797 6.47318 7.09691 7.68489 8.24157 8.77049 9.27454 9.75613 10.2173 10.6597 11.0849 11.4942 11.8886 12.2693 12.6371 12.9927 13.337 13.6706 13.994 14.3078 14.6125 14.9085 15.1963 15.4763 15.7487 16.0139 16.2723 16.5242 16.7696 17.0091 17.2427 17.4707 17.6933 17.9106 18.123 18.3305 18.5333 18.7316 18.9254 19.1151 19.3006 19.4822 19.6599 19.8338 20.0041 20.1708 20.3342 20.4942 20.6509 20.8045 20.955 21.1025 21.247 21.3888 21.5277 21.664 21.7976 21.9287 22.0572 22.1833 22.307 22.4283 22.5474 22.6642 22.7788 22.8913 23.0017 23.11 23.2164 23.3207 23.4232 23.5238 23.6225 23.7194 23.8145 23.908 23.9997 24.0897 24.1781 24.2649 24.3501 24.4337 24.5159 24.5965 24.6757 24.7535 24.8298 24.9048 24.9784 25.0506 25.1215 25.1912 25.2595 25.3266 25.3925 25.4572 25.5207 25.583 25.6442 25.7042 25.7631 25.8209 25.8776 25.9333 25.9879 26.0415 26.0941 26.1457 26.1963 26.2459 26.2946 26.3423 26.3891 26.435 26.48 26.5241 26.5673 26.6097 26.6512 26.6919 26.7317 26.7708 26.809 26.8464 26.8831 26.919 26.9541 26.9885 27.0221 27.055 27.0872 27.1187 27.1494 27.1795 27.2089 27.2376 27.2656 27.293 27.3197 27.3458 27.3713 27.3961 27.4203 27.4439 27.4669 27.4893 27.5112 27.5324 27.553 27.5731 27.5927 27.6116 27.6301 27.6479 27.6653 27.6821 27.6984 27.7142 27.7295 27.7442 27.7585 27.7723 27.7856 27.7984 27.8107 27.8225 27.8339 27.8449 27.8553 27.8654 27.8749 27.8841 27.8928 27.901 27.9089 27.9163 27.9233 27.9298 27.936 27.9418 27.9472 27.9521 27.9567 27.9609 27.9647 27.9681 27.9712 27.9738 27.9762 27.9781 27.9797 27.9809 27.9818 27.9823 27.9823
298.507 0 1.12843 1.97508 2.68676 3.31189 3.87436 4.38829 4.86299 5.30499 5.71913 6.10913 6.4779 6.82782 7.16084 7.47858 7.78241 8.07351 8.35292 8.6215 8.88006 9.12927 9.36976 9.60207 9.8267 10.0441 10.2547 10.4588 10.6568 10.849 11.0357 11.2172 11.3936 11.5652 11.7323 11.895 12.0535 12.208 12.3586 12.5055 12.6488 12.7887 12.9252 13.0586 13.1888 13.3161 13.4405 13.5621 13.6811 13.7974 13.9111 14.0225 14.1314 14.238 14.3424 14.4446 14.5447 14.6427 14.7387 14.8328 14.925 15.0153 15.1038 15.1906 15.2757 15.3591 15.4409 15.521 15.5997 15.6768 15.7524 15.8266 15.8994 15.9708 16.0409 16.1096 16.177 16.2432 16.3082 16.3719 16.4344 16.4958 16.5561 16.6152 16.6732 16.7302 16.7861 16.841 16.8949 16.9478 16.9997 17.0507 17.1007 17.1498 17.198 17.2453 17.2917 17.3373 17.3821 17.426 17.4691 17.5114 17.5529 17.5937 17.6337 17.6729 17.7115 17.7493 17.7863 17.8227 17.8584 17.8935 17.9278 17.9615 17.9946 18.027 18.0588 18.09 18.1206 18.1506 18.18 18.2088 18.237 18.2647 18.2918 18.3184 18.3444 18.3699 18.3949 18.4194 18.4433 18.4668 18.4897 18.5122 18.5342 18.5557 18.5767 18.5973 18.6174 18.6371 18.6563 18.6751 18.6934 18.7114 18.7289 18.746 18.7626 18.7789 18.7948 18.8102 18.8253 18.84 18.8543 18.8683 18.8818 18.895 18.9078 18.9203 18.9324 18.9442 18.9556 18.9667 18.9774 18.9879 18.9979 19.0077 19.0171 19.0262 19.035 19.0435 19.0517 19.0595 19.0671 19.0744 19.0814 19.088 19.0944 19.1005 19.1064 19.1119 19.1172 19.1222 19.1269 19.1314 19.1356 19.1395 19.1432 19.1466 19.1498 19.1527 19.1554 19.1578 19.16 19.162 19.1637 19.1652 19.1664 19.1674 19.1682 19.1687 19.1691 19.1691
348.259 0 0.883746 1.52403 2.05211 2.51003 2.91807 3.28806 3.62764 3.94213 4.23543 4.51051 4.76968 5.0148 5.2474 5.46873 5.67985 5.88168 6.07499 6.26045 6.43867 6.61015 6.77537 6.93474 7.08862 7.23735 7.38123 7.52054 7.65552 7.78641 7.91341 8.03671 8.1565 8.27294 8.38618 8.49636 8.60362 8.70807 8.80984 8.90902 9.00573 9.10006 9.19209 9.28191 9.3696 9.45524 9.53889 9.62062 9.70051 9.77859 9.85495 9.92962 10.0027 10.0741 10.1441 10.2125 10.2795 10.3451 10.4093 10.4722 10.5339 10.5942 10.6534 10.7113 10.7681 10.8238 10.8783 10.9318 10.9842 11.0356 11.0861 11.1355 11.184 11.2315 11.2782 11.3239 11.3688 11.4129 11.4561 11.4985 11.5401 11.5809 11.6209 11.6602 11.6988 11.7366 11.7738 11.8102 11.846 11.8811 11.9156 11.9494 11.9826 12.0152 12.0472 12.0786 12.1094 12.1396 12.1693 12.1984 12.227 12.255 12.2825 12.3095 12.336 12.3621 12.3876 12.4126 12.4372 12.4613 12.4849 12.5081 12.5309 12.5532 12.5751 12.5965 12.6176 12.6382 12.6584 12.6783 12.6977 12.7168 12.7355 12.7538 12.7717 12.7893 12.8065 12.8234 12.8399 12.8561 12.8719 12.8874 12.9026 12.9175 12.932 12.9462 12.9601 12.9737 12.987 13 13.0127 13.0251 13.0373 13.0491 13.0607 13.072 13.083 13.0937 13.1042 13.1144 13.1244 13.1341 13.1435 13.1528 13.1617 13.1704 13.1789 13.1871 13.1951 13.2029 13.2105 13.2178 13.2249 13.2317 13.2384 13.2448 13.2511 13.2571 13.2629 13.2685 13.2739 13.2791 13.2841 13.2889 13.2935 13.2979 13.3021 13.3061 13.31 13.3137 13.3171 13.3204 13.3236 13.3265 13.3293 13.3319 13.3343 13.3366 13.3387 13.3406 13.3424 13.344 13.3454 13.3467 13.3478 13.3488 13.3496 13.3503 13.3508 13.3512 13.3514 13.3514
